gutenberg_id,text,title,document
36,The War of the Worlds,The War of the Worlds,1
36,"",The War of the Worlds,2
36,by H. G. Wells [1898],The War of the Worlds,3
36,"",The War of the Worlds,4
36,"",The War of the Worlds,5
36,     But who shall dwell in these worlds if they be,The War of the Worlds,6
36,     inhabited? .  .  .  Are we or they Lords of the,The War of the Worlds,7
36,     World? .  .  .  And how are all things made for man?--,The War of the Worlds,8
36,          KEPLER (quoted in The Anatomy of Melancholy),The War of the Worlds,9
36,"",The War of the Worlds,10
36,"",The War of the Worlds,11
36,"",The War of the Worlds,12
36,BOOK ONE,The War of the Worlds,13
36,"",The War of the Worlds,14
36,THE COMING OF THE MARTIANS,The War of the Worlds,15
36,"",The War of the Worlds,16
36,"",The War of the Worlds,17
36,"",The War of the Worlds,18
36,CHAPTER ONE,The War of the Worlds,19
36,"",The War of the Worlds,20
36,THE EVE OF THE WAR,The War of the Worlds,21
36,"",The War of the Worlds,22
36,"",The War of the Worlds,23
36,No one would have believed in the last years of the nineteenth,The War of the Worlds,24
36,century that this world was being watched keenly and closely by,The War of the Worlds,25
36,intelligences greater than man's and yet as mortal as his own; that as,The War of the Worlds,26
36,men busied themselves about their various concerns they were,The War of the Worlds,27
36,"scrutinised and studied, perhaps almost as narrowly as a man with a",The War of the Worlds,28
36,microscope might scrutinise the transient creatures that swarm and,The War of the Worlds,29
36,multiply in a drop of water.  With infinite complacency men went to,The War of the Worlds,30
36,"and fro over this globe about their little affairs, serene in their",The War of the Worlds,31
36,assurance of their empire over matter.  It is possible that the,The War of the Worlds,32
36,infusoria under the microscope do the same.  No one gave a thought to,The War of the Worlds,33
36,"the older worlds of space as sources of human danger, or thought of",The War of the Worlds,34
36,them only to dismiss the idea of life upon them as impossible or,The War of the Worlds,35
36,improbable.  It is curious to recall some of the mental habits of,The War of the Worlds,36
36,those departed days.  At most terrestrial men fancied there might be,The War of the Worlds,37
36,"other men upon Mars, perhaps inferior to themselves and ready to",The War of the Worlds,38
36,"welcome a missionary enterprise.  Yet across the gulf of space, minds",The War of the Worlds,39
36,"that are to our minds as ours are to those of the beasts that perish,",The War of the Worlds,40
36,"intellects vast and cool and unsympathetic, regarded this earth with",The War of the Worlds,41
36,"envious eyes, and slowly and surely drew their plans against us.  And",The War of the Worlds,42
36,early in the twentieth century came the great disillusionment.,The War of the Worlds,43
