TIPO;DIRECTION;ELTDEC_numero;ELTDEC_designation;FAM_code;FCT_numero;FCT_designation;ESO_num_PG;ESO_designation_PG;PIE_numero;PIE_designation;PIE_gest_MDS;PIEIND_indice;PIEIND_typologie;VARCAS_MTC;3D;MDS;Plan;3D_ok;2D_ok;MDS_ok;perimetro
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F12070;GOUTTIERE AR SUR COTE DE CAISSE;F12070/AA;GOUTTIERE LAT AR D SUR PEAU DE COTE DE CAISSE;763568061R;GOUTTIERE LAT AR D;Oui;--A;Plan et Num 3D obligatoires;HJD.;3DRP115652;713008490 / 1.00;2D6031454R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F12070;GOUTTIERE AR SUR COTE DE CAISSE;F12070/AB;GOUTTIERE LAT AR G SUR PEAU DE COTE DE CAISSE;763571615R;GOUTTIERE LAT AR G;Oui;--A;Plan et Num 3D obligatoires;HJD.;3DRP115752;713008497 / 1.00;2D6031454R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10646;STRUCTURE D' ADAPTATION DE FEU AR SUR CAISSE;F10646/AG;DOUBLURE ELEMENT SUPPORT DE FEU AR G SUR CAISSE;781412384R;DOUBLURE SUPPORT FEU AR G;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRO203724;728080088 / 1.00;2D5932851R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10646;STRUCTURE D' ADAPTATION DE FEU AR SUR CAISSE;F10646/AH;DOUBLURE ELEMENT SUPPORT DE FEU AR D SUR CAISSE;781400261R;DOUBLURE SUPPORT FEU AR D;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRO203849;728082745 / 1.00;2D5932851R;OK;OK;OK;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;F11645;STRUCTURE D' ADAPTATION MONTANT DE BAIE;F11645/AA;DOUBLURE DE MONTANT DE BAIE D;762303467R;DOUBLURE MONTANT BAIE D;Oui;---;Plan et Num 3D obligatoires;HJD.;3DR2815651;827324709 / 1.00;2DL724256R;OK;OK;OK;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;F11645;STRUCTURE D' ADAPTATION MONTANT DE BAIE;F11645/AB;DOUBLURE DE MONTANT DE BAIE G;762317394R;DOUBLURE MONTANT BAIE G;Oui;---;Plan et Num 3D obligatoires;HJD.;3DR2814860;827320886 / 1.00;2DL724256R;OK;OK;OK;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;ASS002800;RFR ANCRAGE RENVOI DE CEINTURE DE SECURITE G 1ERE RANGEE ASS;ASS002800;RFR ANCRAGE RENVOI DE CEINTURE DE SECURITE G 1ERE RANGEE ASS;765811733R;RENFORT ANCRAGE RNV C/S G 1ERE RNG ASS;Non;--A;Plan de définition obligatoire;HJD.;-;-;8200635667;NO APLICA;OK;NO APLICA;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;ASS002801;RFR ANCRAGE RENVOI DE CEINTURE DE SECURITE D 1ERE RANGEE ASS;ASS002801;RFR ANCRAGE RENVOI DE CEINTURE DE SECURITE D 1ERE RANGEE ASS;765807518R;RENFORT ANCRAGE RNV C/S D 1ERE RNG ASS;Non;---;Plan de définition obligatoire;HJD.;-;-;8200635667;NO APLICA;OK;NO APLICA;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;ASS001158;RENFORT ARTICULATION INF DE PORTE AR  D ASS;ASS001158;RENFORT ARTICULATION INF DE PORTE AR  D ASS;765721151R;RENFORT CHARNIERE INF PIED MILIEU D ASS;Non;--B;Plan de définition obligatoire;HJD.;-;-;-;NO APLICA;NOT OK;NO APLICA;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F18696;STRUCTURE DE PIED MILIEU D;F18696/AA;RENFORT DE PIED MILIEU D;765302792R;RENFORT PIED MILIEU D;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRP429862;861302665 / 3.00;765313767R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F18708;COTE DE CAISSE D;F18708/BA;EL FERMETURE COTE CAISSE PARTIE AV D;764124757R;ELEMENT FRMT COTE CAISSE D;Oui;--A;Plan et Num 3D obligatoires;HJD.;3DRP139020;713008350 / 1.00;2D5984397R;OK;OK;OK;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;F18708;COTE DE CAISSE D;F18708/AA;COTE DE CAISSE D;760326147R;COTE CAISSE D PARTIE AR;Oui;--B;Plan et Num 3D obligatoires;HJD.;-;827332095 / 1.00;-;NOT OK;NOT OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F18748;COTE DE CAISSE G;F18748/AI;ELEMENT FERMETURE DE COTE DE CAISSE G;764131108R;ELEMENT FRMT COTE CAISSE G;Oui;--A;Plan et Num 3D obligatoires;HJD.;3DRP387959;713008448 / 1.00;2D5984397R;OK;OK;OK;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;F18748;COTE DE CAISSE G;F18748/AA;COTE DE CAISSE G;760332615R;COTE CAISSE G PARTIE AR;Oui;--B;Plan et Num 3D obligatoires;HJD.;-;827344404 / 1.00;-;NOT OK;NOT OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10096;STRUCTURE ADAPTATION PIPE DE REMPLISSAGE RESERVOIR CARBURANT;F10096/AA;BOITIER DE PIPE DE REMPLISSAGE DE RESERVOIR A CARBURANT;781213935R;BOITIER PIPE CARBURANT;Oui;---;Plan et Num 3D obligatoires;HJD/ENPB01.;3DRP098530;713012436 / 1.00;2D6125164R;OK;OK;OK;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;F18710;DOUBLURE DE COTE DE CAISSE D;F18710/AA;DOUBLURE DE CUSTODE D;766325237R;DOUBLURE CUSTODE D;Oui;--A;Plan et Num 3D obligatoires;HJD/TR4X2.;-;827340829 / 1.00;-;NOT OK;NOT OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F18710;DOUBLURE DE COTE DE CAISSE D;F18710/AD;RENFORT SUP AR DE STRUCTURE DE COTE DE CAISSE D;776507388R;RENFORT SUP AR COTE CAISSE D;Oui;--A;Plan et Num 3D obligatoires;HJD/TR4X2.;3DRP107850;713008509 / 1.00;2D5968397R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F18710;DOUBLURE DE COTE DE CAISSE D;F18710/AH;RENFORT AR DE PARTIE INF DE CUSTODE D;766361764R;RENFORT AR INF CUSTODE D;Oui;---;Plan et Num 3D obligatoires;HJD/TR4X2.;3DRP387487;859893348 / 1.00;2D6053493R;OK;OK;OK;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;F18754;DOUBLURE DE COTE DE CAISSE G;F18754/AA;DOUBLURE DE CUSTODE G;766332584R;DOUBLURE CUSTODE G;Oui;--A;Plan et Num 3D obligatoires;HJD/TR4X2.;-;827343619 / 1.00;-;NOT OK;NOT OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F18754;DOUBLURE DE COTE DE CAISSE G;F18754/AH;RENFORT AR DE PARTIE INF DE CUSTODE G;766F58106R;RENFORT AR INF CUSTODE G;Oui;---;Plan et Num 3D obligatoires;HJD/TR4X2.;3DRC247878;713008465 / 1.00;2D6053493R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10733;STRUCTURE D' ADAPTATION DOUBLURE DE PIED AV;F10733/AE;RENFORT DE DOUBLURE DE PIED AV D;641961808R;RENFORT DOUBLURE PIED AV D;Oui;---;Plan et Num 3D obligatoires;HJD/DG.;3DRO205069;728087879 / 1.00;2DL739555R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10733;STRUCTURE D' ADAPTATION DOUBLURE DE PIED AV;F10733/AF;RENFORT DE DOUBLURE DE PIED AV G;641972741R;RENFORT DOUBLURE PIED AV G;Oui;---;Plan et Num 3D obligatoires;HJD/DG.;3DRO204131;728087792 / 1.00;2DL739555R;OK;OK;OK;11 - SUPERSTRUCTURE
POI;DE-VB;11;SUPERSTRUCTURE;XJD;ASS012924;RENFORT SUP AR DE STRUCTURE DE COTE CAISSE G P-ASS;ASS012924;RENFORT SUP AR DE STRUCTURE DE COTE CAISSE G P-ASS;775792350R;RENFORT SUP AR STRUCTURE C/CS G P-ASS;Non;---;Pas d'élément de définition obligatoire;HJD/TR4X2/ENPD01.;-;-;-;NO APLICA;NO APLICA;NO APLICA;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10686;TRAVERSE CTL DE PAVILLON;F10686/AC;TRAVERSE 1 CTL DE PAVILLON;732567222R;TRAVERSE CTL PAVILLON;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRO214417;713008505 / 1.00;2D6005130R;OK;OK;OK;11 - SUPERSTRUCTURE
COCA;DE-VB;11;SUPERSTRUCTURE;XJD;F10684;TRAVERSE AR DE PAVILLON;F10684/AA;ARCEAU AR DE PAVILLON;732621744R;ARCEAU AR PAVILLON;Oui;---;Plan et Num 3D obligatoires;HJD.;3DRO203368;728092025 / 1.00;2DC072973R;OK;OK;OK;11 - SUPERSTRUCTURE
