Level;Name/Id;Index (Revision);Versión;Maturity.x;Designation.x;English Designation;Ruta;Route State;Tarea;Assignee;Approval Status;Comentarios;Field of Expertise;Designation.y;Maturity.y;n;total;riesgo;ELTDEC_numero;ELTDEC_designation;FAM_code;FCT_numero;FCT_nature;FCT_designation;FCT_BE_resp;VAR_numero;VAR_type;VAR_argument_produit_1;VAR_argument_produit_2;VAR_prix_previ;VAR_masse_previ;SOL_numero;SOL_site_production;SOL_sce;SOL_appariement;ESO_numero;ESO_etat;ESO_num_appro;ESO_date_histo;ESO_num_PG;ESO_commonalite;ESO_commentaire;ESO_designation_PG;ESO_code_SH;ESO_fourn_pilote;ESO_type_concur;ESO_mas_prob;ESO_mas_recy;ESO_risque;ESO_ecart_mas1;ESO_ecart_mas2;ESO_potentiel;ESO_coef;ESO_design_dos_fct;ESO_BE_resp;ESO_indice_dos_fct;AFU_int_site;AFU_int_sce;AFU_int_validite;AFU_ext_site;AFU_ext_sce;AFU_ext_validite;ECO_statut;ECO_sol_ext;ECO_parallel_set_cod;ECO_commentaire;PIE_numero;PIE_designation;PIE_type;PIE_BE_resp;PIE_sce_gest;PIE_sce_colead;PIE_ldr_conception;PIE_Nis_pie_numero;PIE_unite;AFF_POI_site;AFF_POI_sce;AFF_POI_validite;AFF_POE_site;AFF_POE_sce;AFF_POE_validite;AFF_uti_SIGNE;AFF_uti_G2B;PIE_cod_RSE;PIE_vital_part;PIE_code_nature;PIE_code_techno;PIE_sct_ach;PIE_fournisseur;PIE_cod_fab;PIE_source;PIE_gest_MDS;PIE_prix_std;PIE_prix_hors_amort;PIE_inducteur1;PIE_inducteur2;PIE_creation_comment;PIE_gest_PPU;PIE_maj_PPU;PIEIND_indice;PIEIND_statut;PIEIND_Dernier_indice;PIEIND_Dernier_statut;PIEIND_marquage_pays;PIEIND_masse;PIEIND_type_masse;PIEIND_nuance_protection;PIEIND_epaisseur;PIEIND_typologie;DOCTECH_BE_resp;DOCTECH_type;DOCTECH_indice;DOCTECH_indice_mineur;DOCTECH_flag_nis;causa_rechazo;validacion_andres
1;765731165R;#¿NOMBRE?;17;Refused;RENFORT CHARNIERE INF PIED MILIEU G ASS;REINF ASSY-LH CTR PILLAR LWR HINGE;R-0141619;Stopped;"IT-0471324
IT-0471325
IT-0471326
IT-0471327
IT-0471328";"a031462
POOL_CHOC FRTL PRTN OCCUPANT
ay30571
ay09441
ay24140";"Approve
None
None
None
None";"Dans la vignette 024 cocher la case au dessus de la règlementation UN-R95 pour l'activer.
In the label 024, put a cross into the box on UN-R95 to activate it";"POOL_CHOC LAT PRTN OCCUPANT



";RENFORT CHARNIERE INF PIED MILIEU G ASS;Validated;3;3;0;11;SUPERSTRUCTURE;X52;ASS001153;Fonction;RENFORT ARTICULATION INF DE PORTE AR  G ASS;Renault;1;Projet; TRICORPS, BERLINE ET BREAK PH1,PH2;;NA;NA;1; OCM,TOA;0M000;NA;1;Valide;"	";05/09/2014;ASS001153;NA;;RENFORT ARTICULATION INF DE PORTE AR  G ASS;8708.29;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;;; OCM,TOA;0M000;Officielle;;;;BE;;NA;DOC 4.90/100;765731165R;RENFORT CHARNIERE INF PIED MILIEU G ASS;PIE;Renault;0M000;;Renault;NA; PCE Pièce, Unité; TOA,OCM;0M000;Officielle;;;; OCM,TOA;NA;RQ-;NA;*;9S0;;;1;;Non;NA;NA;Design - Montée en Gamme - Teintes;Non définie;;;;--F;BE;--F;BE;NA;0,37;Calcul automatique;;;Plan de définition obligatoire;Renault;Plan;#¿NOMBRE?;16;;forma;
1;791C35767R;#¿NOMBRE?;9;Refused;DOUBLURE JUPE PARTIE LAT G;TRIM-APRON,LH SIDE PART;R-0041674;Stopped;IT-0134348;z014077;Reject;To be corrected;;DOUBLURE JUPE PARTIE LAT G;Refused;2;6;0,3333333;11;SUPERSTRUCTURE;XHA;F10416;Fonction;JUPE AR;Renault;1;Projet;SUV;;NA;NA;5; ORU,UAS,ARU;0RDBA;NA;3;Valide;"	";24/08/2018;F10416/BG;NA;;DOUBLURE JUPE AR PARTIE LAT D;8708.29;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;;; ORU,UAS;0RDBA;Officielle;;;;BE;;NA;;791C26313R;DOUBLURE JUPE PARTIE LAT D;PIE;Renault;0M000;;Renault;NA; PCE Pièce, Unité;;;;EXT;0M000;Officielle; ARU,UAS,ORU;NA;RQ-;NA;-;SF0;;OOO GESTAMP SEVERSTAL KALUGA;D1;;Oui;NA;NA;Inducteurs Spécifiques;Spécifique prototype;;;;#¿NOMBRE?;BE;#¿NOMBRE?;BE;NA;0,699;Calculée;;;Plan et Num 3D obligatoires;Renault;Plan;#¿NOMBRE?;2;Non partagé;forma;
1;745412738R;#¿NOMBRE?;2;Refused;RENFORT SP G FIX DSR SJ 2EME RNG ASS;REINF ASSY-SEAT LOCK SUPT, 2ND ROW LH;R-0040872;Stopped;IT-0132952;z014077;Reject;Index to be corrected;POOL_SIEGE ANCRAGE SIEGE VP VU;RENFORT SP G FIX DSR SJ 2EME RNG ASS;Refused;1;2;0,5;11;SUPERSTRUCTURE;XHA;F10562;Fonction;STRUCTURE D' ADAPTATION VRLJ DOSSIER SIEGE 2EME RNG;Renault;1;Projet;SUV;;NA;NA;3;CHN;0M000;NA;1;Valide;"	";17/03/2016;F10562/AL;NA;;RENFORT SUPPORT VERROUILLAGE SIEGE G 2EME RNG;8708.29;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;;;;;;EXT;0M000;Officielle;BE;;NA;DOC 400150;745418037R;RENFORT SP G FIX DSR SJ 2EME RNG;PIE;Renault;0M000;KY2;Renault;NA; PCE Pièce, Unité;;;;EXT;0M000;Officielle;EXT;NA;RS-;NA;-;SF0;;;GB;;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);;;;#¿NOMBRE?;BE;#¿NOMBRE?;BE;NA;0,494;Calculée;HC300LA-A-M SANS;1.5;Plan et Num 3D obligatoires;Renault;Plan;#¿NOMBRE?;3;;procedimiento;
1;2DN219142R;---;1;Refused;RENFORT SUP PIED AV G ASS;REINF ASSY-FR LH PLR,UPR;R-0045197;Stopped;IT-0145555;z014077;Reject;To be corrected;;RENFORT SUP PIED AV G ASS;Refused;2;5;0,4;11;SUPERSTRUCTURE;XHA;ASS001129;Fonction;RENFORT SUP DE PIED AV D ASS;Renault;1;Projet; HHA - ORU, UAS, CHN;;NA;NA;2;CHN;0M000;NA;1;Valide;"	";30/03/2016;ASS001129;NA;;RENFORT SUP DE PIED AV D ASS;8708.29;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;;;;;;EXT;0M000;Officielle;BE;;NA;DOC 426075;762180587R;RENFORT SUP PIED AV D ASS;PIE;Renault;0M000;KY2;Renault;NA; PCE Pièce, Unité;;;;EXT;0M000;Officielle;EXT;NA;RQ-;NA;*;9R0;;;KR;;Non;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);;;;#¿NOMBRE?;BE;#¿NOMBRE?;BE;NA;0,707;Calcul automatique;;;Plan de définition obligatoire;Renault;Plan;#¿NOMBRE?;5;;forma;
1;762190857R;--C;11;Refused;RENFORT STRUCTURE PIED AV G P-ASS;REINF PRE ASSY-FR LH PLR STRUCTURE;R-0040830;Stopped;IT-0131963;z014077;Reject;Please correct;;RENFORT STRUCTURE PIED AV G P-ASS;Refused;2;3;0,6666667;11;SUPERSTRUCTURE;XHA;F10733;Fonction;STRUCTURE D' ADAPTATION DOUBLURE DE PIED AV;Renault;1;Projet;SUV;;NA;NA;3;CHN;0M000;NA;3;Valide;"	";17/03/2016;F10733/AI;NA;;RENFORT CHOC 1 DOUBLURE PIED AV G;8708.29;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;;;;;;EXT;0M000;Officielle;BE;;NA;DOC 426075;762193420R;RENFORT CHOC DOUBLURE PIED AV G;PIE;Renault;0M000;KY2;Renault;NA; PCE Pièce, Unité;;;;EXT;0M000;Officielle;EXT;NA;-Q-;NA;-;SF0;;;JA;;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);;;;#¿NOMBRE?;BE;#¿NOMBRE?;BE;NA;0,105;Calculée;SP151-590 SANS;1.5;Plan et Num 3D obligatoires;Renault;Plan;--C;13;;forma;
1;767421670R;--F;7;Refused;RENFORT INF AR COTE CAISSE D;REINF-RH BODY SIDE,RR LWR;R-0040873;Stopped;IT-0132951;z014077;Reject;Index to be corrected in drawing;POOL_CHOC LAT PRTN OCCUPANT;RENFORT INF AR COTE CAISSE D;Refused;1;2;0,5;11;SUPERSTRUCTURE;XHA;F18710;Fonction;DOUBLURE DE COTE DE CAISSE D;Renault;4;Projet;HHA CNH;;NA;NA;2;CHN;0RDBA;NA;4;Valide;"	";22/02/2019;F18710/AV;NA;;RENFORT 1 INF AR DE STRUCTURE DE COTE DE CAISSE D;8708.29;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;;;;;;EXT;0RDBA;Officielle;BE;;NA;;767423265R;RENFORT INF AR COTE CAISSE D;PIE;Renault;0M000;KY2;Renault;NA; PCE Pièce, Unité;;;;EXT;0M000;Officielle;EXT;NA;RQ-;NA;-;SFK;;;BA;;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);;;;#¿NOMBRE?;BE;#¿NOMBRE?;BE;NA;0,238;Calculée;DX54D+Z100MBO Z100;0.8;Plan et Num 3D obligatoires;Renault;Plan;--F;8;;forma;
1;625124642R;--F;14;Refused;TRAVERSE SUP CTL FACE AV ASS;MBR ASSY-CROSS, FR END CTR UPR;R-0005910;Stopped;"IT-0022569
IT-0022570
IT-0022571
IT-0022572
IT-0022573
IT-0022574
IT-0022575";"ay05465
bw59069
ay11455
ay05465
ay09576
a192101
ay09560";"Approve
Approve
Approve
Reject
Approve
Approve
Approve";"Validation suite aux modifs administratives
Le plan sera envoyé en signature a un indice superieure

ok admin. 
Préciser dans npdm, en commentaire, le n° de projet véhicule (X, B, 52,  98, J87, JFC, HFE, ...)";"
Endurance Generale
Sécurité Passive
POOL_PARE-CHOCS
POOL_VERROU CAPOT
POOL_CHOC FRTL PRTN OCCUPANT
ANTICORROSION";TRAVERSE SUP CTL FACE AV ASS;Refused;4;8;0,5;11;SUPERSTRUCTURE;X52;F10687;Fonction;TRAVERSE SUP DE FACE AV;Renault;1;Projet; BERLINE, BREAK ET TRICORPS;;NA;NA;1;MOP;0M000;NA;4;Valide;"	";02/03/2015;F10687/AJ;NA;;TRAVERSE SUP FACE AV PARTIE CTL;8708.29;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;;;MOP;0M000;Officielle;;;;BE;;NA;DOC 400010;625127664R;TRAVERSE SUP FACE AV PARTIE CTL;PIE;Renault;0M000;;Renault;NA; PCE Pièce, Unité;;;;EXT;0M000;Officielle;MOP;NA;RQ-;NA;-;RFK;;SC GIC NOSAG METAL SRL;Y7;;Oui;NA;NA;Design - Montée en Gamme - Teintes;Non définie;;;;#¿NOMBRE?;BE;#¿NOMBRE?;BE;NA;1,894;Calculée;XES G10/10;1.28;Plan et Num 3D obligatoires;Renault;Plan;--F;2;Non partagé;procedimiento;
1;791000880R;#¿NOMBRE?;19;Refused;JUPE AR ASS;APRON ASSY-RR;R-0016762;Stopped;"IT-0058027
IT-0058028
IT-0058026";"ay23642
ay24668
bw59069";"Approve
None
Reject";add norme descentrage;"

Endurance Generale";JUPE AR ASS;Refused;4;8;0,5;11;SUPERSTRUCTURE;X52;ASS001092;Fonction;JUPE AR PRE-ASS;Renault;1;Projet;BERLINE TOA;;NA;NA;3;TOA;0M000;NA;1;Valide;"	";18/07/2013;ASS001092;NA;;JUPE AR PRE-ASS;8708.29;NA;Fournisseur;0;0;NA;0;0;NA;1;NA;;;TOA;0M000;Officielle;;;;BE;;NA;;791005278R;JUPE AR P-ASS;PIE;Renault;0M000;;Renault;NA; PCE Pièce, Unité;TOA;0M000;Officielle;;;;TOA;NA;---;NA;*;;;;4F;;Non;NA;NA;Gestion Documentaire;Non définie;;;;---;BE;---;BE;NA;1,187;Calcul automatique;;;Plan de définition obligatoire;Renault;Plan;--C;1;Non partagé;técnico;
1;766310012R;--R;14;Refused;DOUBLURE CUSTODE G;PANEL-INR, LH QTR;R-0037934;Stopped;"IT-0123155
IT-0123156
IT-0123157
IT-0123158
IT-0123159
IT-0123160
IT-0123161
IT-0123162
IT-0123163";"ay13262
ay24668
bw59069
a177796
a192101
a030348
POOL_CHOC LAT PRTN OCCUPANT
ac61710
ay24055";"None
None
Reject
Approve
Approve
Approve
None
Approve
None";"MAJ nota 8 : indication pour respecte  tolérances épaisseur idem version valide en descentrage

ok (ajou nota nv mat dx56d, meme ep et nv ref)


-";"

Endurance Generale
POOL_ANCRAGE C/S RESISTANCE
POOL_CHOC AR STRUCTURE
POOL_ANCRAGE C/S LOCALISATION
POOL_CHOC LAT PRTN OCCUPANT

";DOUBLURE CUSTODE G;Refused;3;5;0,6;11;SUPERSTRUCTURE;X79;F18754;Fonction;DOUBLURE DE COTE DE CAISSE G;Renault;1;Projet;SUV 5 PORTES 4X2;;NA;NA;11;CHN;0M000;NA;5;Valide;"	";09/02/2016;F18754/AA;NA;;DOUBLURE DE CUSTODE G;8708.29;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;;;CHN;0M000;Officielle;;;;BE;;NA;DOC 400150;766333556R;DOUBLURE CUSTODE G;PIE;Renault;0M000;;Renault;NA; PCE Pièce, Unité;;;;EXT;0M000;Officielle;CHN;NA;RQ-;NA;-;SF0;;;UT;;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;;;;---;BE;---;BE;NA;3,088;Calculée;DC04 AM SANS;0.65;Plan et Num 3D obligatoires;Renault;Plan;#¿NOMBRE?;1;Non partagé;técnico;
1;2DF514431R;---;2;Refused;BARRE TOIT LONGITUDINALE;;R-0023284;Stopped;IT-0077924;ay00380;Reject;.;METIER;BARRE TOIT LONGITUDINALE;Refused;4;5;0,8;11;SUPERSTRUCTURE;X79;F10354;Fonction;ELEMENT DE PORTAGE SUR PAVILLON;Renault;10;Projet;U79 DARK GREY;;NA;NA;5;UAS;0RDBA;NA;20;Valide;"	";10/01/2017;F10354/DA;NA;;BARRE DE TOIT LONGITUDINALE D EQP;;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;;; VUC,UAS;0RDBA;Officielle;;;;BE;;NA;;738204780R;BARRE TOIT LONGITUDINALE D EQP;PIE;Renault;0M000;;Renault;NA; PCE Pièce, Unité;;;;EXT;0M000;Officielle; UAS,VUC;NA;RS-;NA;-;70R;;INSTALADORA SAO MARCOS LTDA;RG;;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);;;;---;BE;---;BE;NA;5,75;Calculée;;;Plan et Num 3D obligatoires;Renault;Plan;---;6;;forma;
