Tipo de demarche;Department;Function Group ;PartReference;Part Designation;Piloted ANPQP;Supplier Name;Pays;Site;PFE / File Manager;Purchasing;SSD;SSD Project Proximite;Origin (IL, PLDA, CO);Type piece (POE, POI);Razones PSW de origen ND;Fecha prevista PSW origen;Las piezas para ABPT1 son IOD? (Si-no);Las piezas para ABPT1 son representativas para PSW? ;Las piezas que llegan para ABPT1 tienen PSW? ;Cómo van a garantizar la llegada de piezas con PSW para ABPT2;Se tiene plan de cumplimiento de GSCR? ;TIPO
CO;DE-VD;41;628119487R;GUIDE AIR SUP G BOUCLIER AV;;BELLS;BRAZIL;271460-00-COLOMBO;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;11;732621744R;ARCEAU AR PAVILLON;;GESTAMP PARANA S.A;BRAZIL;276491-00-TAUBATE;;Patricia MEDEIROS - LB00635;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;11;791100230R;DOUBLURE JUPE PARTIE SUP;;GESTAMP PARANA S.A;BRAZIL;276491-00-TAUBATE;;Patricia MEDEIROS - LB00635;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;11;781400261R;DOUBLURE SUPPORT FEU AR D;;GESTAMP PARANA S.A;BRAZIL;276491-00-TAUBATE;;Patricia MEDEIROS - LB00635;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;11;781412384R;DOUBLURE SUPPORT FEU AR G;;GESTAMP PARANA S.A;BRAZIL;276491-00-TAUBATE;;Patricia MEDEIROS - LB00635;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;11;641961808R;RENFORT DOUBLURE PIED AV D;;GESTAMP PARANA S.A;BRAZIL;276491-00-TAUBATE;;Patricia MEDEIROS - LB00635;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;11;641972741R;RENFORT DOUBLURE PIED AV G;;GESTAMP PARANA S.A;BRAZIL;276491-00-TAUBATE;;Patricia MEDEIROS - LB00635;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;11;765302792R;RENFORT PIED MILIEU D;;GESTAMP PARANA S.A;BRAZIL;620596-00-SAO JOSE DOS PINHAIS;;Patricia MEDEIROS - LB00635;;;COCA;POE;En desarrollo - Con Fecha;S1940;;;;;;COCA
CO;DE-VB;11;625044151R;STRUCTURE FACE AV ASS;;GESTAMP PARANA S.A;BRAZIL;276491-00-TAUBATE;;Patricia MEDEIROS - LB00635;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;11;766F58106R;RENFORT AR INF CUSTODE G;;TOWER AUTOMOTIVE;BRAZIL;620694-00 - U2C9-TOWER AUTOMOTIVE DO BRASIL SA.;;Manoela Reis;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
