DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
100030865,RENFORT AR TETE ESSIEU G,Refused,5,7,0.7142857142857143,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,8,MEP,0M000,NA,5,Valide, 	 ,08/03/2018,F15652/AE,NA,,RENFORT LAT DE TETE ESSIEU AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MEP,0M000,Officielle,,,,BE,,NA,, 	 555178428R,RENFORT AR TETE ESSIEU D,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,MEP,TOA",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,9F,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.44,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--K,10,
100030876,RENFORT TETE ESSIEU,Refused,5,7,0.7142857142857143,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,14,OCM,0RDBA,NA,9,Valide, 	 ,16/04/2019,F15652/AZ,NA,,RENFORT AV TETE ESSIEU AR G,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,,,,EXT,0RDBA,Officielle,BE,,NA,, 	 555151465R,RENFORT AV TETE ESSIEU,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,TOA,MEP",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,15,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.44,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--H,9,
100030926,RENFORT TETE ESSIEU,Refused,1,3,0.3333333333333333,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,8,MEP,0M000,NA,7,Valide, 	 ,08/03/2018,F15652/AT,NA,,TETE ESSIEU AR D PARTIE INF,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MEP,0M000,Officielle,,,,BE,,NA,, 	 555178360R,RENFORT INF TETE ESSIEU,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,MEP,TOA",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,M2,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.43,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--H,6,
100031588,SUPPORT COMPENSATEUR FREINAGE,Refused,5,6,0.8333333333333334,83,FREINAGE,X79,F13087,Fonction,SUPPORT DE COMPENSATEUR DE FREINAGE,Renault,4,Projet,H79 PH 2 INDIA - 4X2,,NA,NA,4,,0INDE,NA,1,Valide, 	 ,06/12/2017,F13087/AA,NA,,SUPPORT 1 COMPENSATEUR DE FREINAGE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,,,,EXT,0INDE,Officielle,BE,,NA,, 	 464091362R,SUPPORT COMPENSATEUR FREINAGE,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,EXT,,---,NA,-,SF0,,,2B,,Non,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,0.024,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--D,8,
112100024R,TAMPON HYDRO-ELASTIQUE AV D EQP,Refused,2,4,0.5,72,SUSPENSION GMP,X52,F10249,Fonction,FILTRATION SUR SUSPENSION GMP D,Renault,13,Projet,K9K - GEN 8 / DAG,,NA,NA,1,,0M000,NA,1,Valide, 	 ,12/05/2017,F10249/AA,NA,,TAMPON DE SUSPENSION GMP D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,TAN",0M000,Officielle,,,,BE,,NA,, 	 112100024R,TAMPON HYDRO-ELASTIQUE AV D EQP,PIE,Renault,65520,KYC,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," EXT,TAN,MOP,UPL,BUR,UAS,UGB,PAL,REV,ORA",,R--,NA,-,,,VIBRACOUSTIC NANTES SAS,KT,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--E,BE,--E,BE,NA,0.924,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--E,7,
112106577R,TAMPON ELASTIQUE AV D,Validated,1,1,0,72,SUSPENSION GMP,X52,F10249,Fonction,FILTRATION SUR SUSPENSION GMP D,Renault,1,Projet," K7M,K4M,D4D,H4M",,NA,NA,1,,0RDBA,NA,2,Valide, 	 ,25/05/2017,F10249/AA,NA,,TAMPON DE SUSPENSION GMP D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,UAS,TAN,MOP",0RDBA,Officielle,EXT,0RDBA,Officielle,BE,,NA,, 	 112106577R,TAMPON ELASTIQUE AV D,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," EXT,TAN,UAS,MOP,UPL,COR",,---,NA,-,,,BOGE ELASTMETALL  FRANCE SAS,YA,,Oui,NA,NA,Non définie,Non définie,Initialisation par PDP,,,--E,BE,--E,BE,NA,0.602,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--E,8,
112329822R,COIFFE SUPPORT MOTEUR,Refused,2,3,0.6666666666666666,72,SUSPENSION GMP,X52,F10267,Fonction,LIAISON SUR SUSPENSION GMP D,Renault,2,Projet,MOTEUR K7M,,NA,NA,6,,0RDBA,NA,1,Valide, 	 ,25/05/2017,F10267/AA,NA,,COIFFE DE SUSPENSION GMP D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,TAN,MOP,UAS",0RDBA,Officielle,EXT,0RDBA,Officielle,BE,,NA,, 	 112329822R,COIFFE SUPPORT MOTEUR,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," EXT,UAS,MOP,TAN,COR",,---,NA,-,KZO,,FBA FUNDIC BRASILEIRA ALUMIN,WH,,Non,NA,NA,Gestion Documentaire,Assemblé,,,,---,BE,---,BE,NA,0.638,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,9,
112849223R,ELEMENT LIAISON,Refused,1,2,0.5,86,ESSIEU AR,X52,F15647,Fonction,EL LIAISON ENTRE ROUE G ET ROUE D DE TRAIN AR,Renault,1,Projet,BL52/SAUF GPL,,NA,NA,3,,0M000,NA,1,Valide, 	 ,13/12/2018,F15647/AA,NA,,ELEMENT DE LIAISON ENTRE ROUE G ET ROUE D DE TRAIN AR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MEP,TAN",0M000,Officielle,EXT,0M000,Officielle,BE,,NA,, 	 112842640R,ELEMENT LIAISON,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,TAN,MEP,KAM",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,R7,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,L90 IRAN,,,---,BE,---,BE,NA,7.046,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,7,
113752043R,TAMPON ELASTIQUE AV D,Validated,1,1,0,72,SUSPENSION GMP,X52,F10249,Fonction,FILTRATION SUR SUSPENSION GMP D,Renault,3,Projet,B4D,,NA,NA,2,,0RDBA,NA,2,Valide, 	 ,14/04/2016,F10249/AA,NA,,TAMPON DE SUSPENSION GMP D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," UAS,MOP,TAN",0M000,Officielle,,,,BE,,NA,, 	 113752043R,TAMPON ELASTIQUE AV D,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," UPL,MOP,TAN,BUR,UAS,REV",,---,NA,-,,,BOGE ELASTMETALL SLOVAKIA A.,8E,,Oui,NA,NA,Design - Montée en Gamme - Teintes,,,,,--B,BE,--B,BE,NA,0.602,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,6,
148068520R,INSCRIPTION ESSENCE SANS PLOMB,Validated,1,1,0,41,ACCESSOIRES EXT - BOUCLIERS - BAGUETTES,X79,F10697,Fonction,INFORMATION TYPE DE CARBURANT,Renault,15,Projet,H79 PH 2 INDIA - ESS,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,27/11/2014,F10697/AA,NA,,INFORMATION 1 TYPE DE CARBURANT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 148068520R,INSCRIPTION ESSENCE SANS PLOMB,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,YJO,,,ZD,8200389402,Non,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--C,BE,--C,BE,NA,0.01,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--A,3,
164460886R,CANALISATION ABSORBEUR VAPEUR CRBT,Refused,1,2,0.5,76,CIRCUIT CARBURANT,XHA,F14135,Fonction,TUYAUTERIE VAPEUR CARBURANT,Renault,1,Projet,HHA H4M,,NA,NA,1,,0M000,NA,1,Valide, 	 ,04/12/2014,F14135/AW,NA,,CANALISATION VAPEUR CARBURANT ENTREE ELECTROVANNE,EXPERT,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 164460886R,CANALISATION ABSORBEUR VAPEUR CRBT,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," ORU,CHN",,RS-,NA,-,,,NOBEL AUTOMOTIVE RUSYA,B5,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,0.02,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,5,
