Tipo,Name / Id,Index (Revision),Version,Maturity,Designation,English designation,Propietario,Project,Organization,Family Project,Route State,Approval Status,Assignee
Doc Plan,7703074621,--C,4,Validated,OBTURATEUR DIAM OU CARRE 16,PLUG HOLT MEALT 16,a866384,STD,SYN,,,,
Doc Plan,7703074621,---,1,Validated,OBTURATEUR DIAM OU CARRE 16,NO VALUE,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074621,--A,2,Validated,OBTURATEUR DIAM OU CARRE 16,PLUG HOLT MEALT 16,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074621,--B,3,Validated,OBTURATEUR DIAM OU CARRE 16,PLUG HOLT MEALT 16,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074621,--D,5,Validated,OBTURATEUR DIAM OU CARRE 16,PLUG HOLT MEALT 16,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074621,--E,6,Validated,OBTURATEUR DIAM OU CARRE 16,PLUG HOLT MEALT 16,GDGADM,STD,VEH,STD,,,
Doc Plan,7703074621,--F,7,Validated,OBTURATEUR DIAM OU CARRE 16,PLUG HOLT MEALT 16,GDGADM,STD,SYN,STD,,,
Doc Plan,762154072R,---,1,Validated,SUPPORT DBL ETANCHEITE PRT AV C/CS G,"SUPT-BODY SIDE DBL SEAL, FR LH PART",GDGADM,ET_RENAULT,SYN,,,,
Doc Plan,762154072R,--A,2,Validated,SUPPORT DBL ETANCHEITE PRT AV C/CS G,"SUPT-BODY SIDE DBL SEAL, FR LH PART",GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,762154072R,--B,3,Validated,SUPPORT DBL ETANCHEITE PRT AV C/CS G,"SUPT-BODY SIDE DBL SEAL, FR LH PART",GDGADM,ET_RENAULT,SYN,L52,,,
Doc Plan,762154072R,--C,4,Validated,SUPPORT DBL ETANCHEITE PRT AV C/CS G,"SUPT-BODY SIDE DBL SEAL, FR LH PART",GDGADM,ET_RENAULT,SYN,L52,,,
