DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
041000001R,ECROU TOLE M6 X100 SA3GS,Validated,8,8,0,74,COMMANDES CHASSIS,X52,F10436,Fonction,MECANISME DE FREIN DE STATIONNEMENT,Renault,1,Projet,TT,,NA,NA,5,,0RDBA,NA,2,Valide, 	 ,18/01/2016,F10436/AY,NA,,PROTECTEUR MECANISME DE FREIN DE STATIONNEMENT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,2,NA,,,OCM,0RDBA,Officielle,,,,BE,,NA,, 	 041000001R,ECROU TOLE M6 X100 SA3GS,RMU,Renault,00APS,KYC,Renault, 	 ," PCE Pièce, Unité",,,," EXT,SFK",00APS,Officielle," EXT,REV,TAN,UGB,PAL,UPL,BUR,VAL,ORU,UAS,IKO,IPK,MOP,OCM,MAH,RMA,NSA,TOA,RSM,CHN,CAR,AGV,COR,LUT,NB1,MCA,DPE,LHA,NVU,HAM,ORA,WUH,PLS,IZH,SOV,VUC,TCM,BUM,MOT,TKD,SNY",,---,NA,S,71K,64Y,RENAULT SAS DEPOT RLT SOFRAS,5X,,Oui,NA,NA,Non définie,Non définie,Initialisation par PDP,,,--G,BE,--G,BE,NA,0.004,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--G,8,Non partagé
100030865,RENFORT AR TETE ESSIEU G,Refused,5,7,0.7142857142857143,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,8,MEP,0M000,NA,5,Valide, 	 ,08/03/2018,F15652/AE,NA,,RENFORT LAT DE TETE ESSIEU AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MEP,0M000,Officielle,,,,BE,,NA,, 	 555178428R,RENFORT AR TETE ESSIEU D,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,MEP,TOA",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,9F,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.44,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--K,10,
100030876,RENFORT TETE ESSIEU,Refused,5,7,0.7142857142857143,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,14,OCM,0RDBA,NA,9,Valide, 	 ,16/04/2019,F15652/AZ,NA,,RENFORT AV TETE ESSIEU AR G,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,,,,EXT,0RDBA,Officielle,BE,,NA,, 	 555151465R,RENFORT AV TETE ESSIEU,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,TOA,MEP",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,15,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.44,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--H,9,
100030926,RENFORT TETE ESSIEU,Refused,1,3,0.3333333333333333,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,8,MEP,0M000,NA,7,Valide, 	 ,08/03/2018,F15652/AT,NA,,TETE ESSIEU AR D PARTIE INF,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MEP,0M000,Officielle,,,,BE,,NA,, 	 555178360R,RENFORT INF TETE ESSIEU,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,MEP,TOA",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,M2,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.43,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--H,6,
100031588,SUPPORT COMPENSATEUR FREINAGE,Refused,5,6,0.8333333333333334,83,FREINAGE,X79,F13087,Fonction,SUPPORT DE COMPENSATEUR DE FREINAGE,Renault,4,Projet,H79 PH 2 INDIA - 4X2,,NA,NA,4,,0INDE,NA,1,Valide, 	 ,06/12/2017,F13087/AA,NA,,SUPPORT 1 COMPENSATEUR DE FREINAGE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,,,,EXT,0INDE,Officielle,BE,,NA,, 	 464091362R,SUPPORT COMPENSATEUR FREINAGE,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,EXT,,---,NA,-,SF0,,,2B,,Non,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,0.024,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--D,8,
101990270R,INSCRIPTION EMISSION ECHP DIESEL,Validated,1,1,0,41,ACCESSOIRES EXT - BOUCLIERS - BAGUETTES,X52,F10698,Fonction,INFORMATION OPACITE FUMEE DIESEL,Renault,5,Projet,EURO6 AH AVEC MOTEUR FAP SAUF TURQUIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,21/05/2015,F10698/AA,NA,,INSCRIPTION OPACITE FUMEE DIESEL,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TAN,MOP",0M000,Officielle,,,,BE,,NA,, 	 101990270R,INSCRIPTION EMISSION ECHP DIESEL,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,TAN,BUR,UPL,REV,PAL,SOV,RMA",,R--,NA,-,YJ0,,ADHEX TECHNOLOGIES SAS,KR,,Oui,NA,NA,Prestations Véhicules et Organes,Evolution règlementaire,,,,---,BE,---,BE,NA,0.001,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,---,1,Non partagé
111407505R,JAUGE HUILE,Validated,2,2,0,B6," LUBRIFICATION BV,PONT & MODULE DE RENVOI",X52,F11847,Fonction,CONTROLE DU NIVEAU D' HUILE DE LA BOITE DE VITESSES,Renault,1,Projet,DK0*002 H4M,,NA,NA,2,,31LOS,NA,1,Valide, 	 ,09/11/2018,F11847/AA,NA,,JAUGE DE CONTROLE DU NIVEAU D' HUILE DE LA BOITE DE VITESSES,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," OCM,TOA,UAS",31LOS,Officielle,,,,BE,,NA,, 	 111407505R,JAUGE HUILE,PIE,Renault,6018,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,31LOS,Officielle," UAS,CHN,VAL,ORU,MOP,TOA,OCM,TKD,IZH",,-S-,NA,-,,,MICHANG CABLE CO LTD,ME,,Oui,NA,NA,Gestion Documentaire,Assemblé,CREATION VIA VPM,,,--B,BE,--B,BE,NA,0.025,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--B,2,Non partagé
112100024R,TAMPON ELASTIQUE AV D,Validated,2,2,0,72,SUSPENSION GMP,X52,F10249,Fonction,FILTRATION SUR SUSPENSION GMP D,Renault,13,Projet,K9K - GEN 8 / DAG,,NA,NA,1,,0M000,NA,1,Valide, 	 ,12/05/2017,F10249/AA,NA,,TAMPON DE SUSPENSION GMP D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,TAN",0M000,Officielle,,,,BE,,NA,, 	 112100024R,TAMPON HYDRO-ELASTIQUE AV D EQP,PIE,Renault,65520,KYC,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," EXT,TAN,MOP,UPL,BUR,UAS,UGB,PAL,REV,ORA",,R--,NA,-,,,VIBRACOUSTIC NANTES SAS,KT,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--E,BE,--E,BE,NA,0.924,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--E,7,
112100024R,TAMPON HYDRO-ELASTIQUE AV D EQP,Refused,2,4,0.5,72,SUSPENSION GMP,X52,F10249,Fonction,FILTRATION SUR SUSPENSION GMP D,Renault,13,Projet,K9K - GEN 8 / DAG,,NA,NA,1,,0M000,NA,1,Valide, 	 ,12/05/2017,F10249/AA,NA,,TAMPON DE SUSPENSION GMP D,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,TAN",0M000,Officielle,,,,BE,,NA,, 	 112100024R,TAMPON HYDRO-ELASTIQUE AV D EQP,PIE,Renault,65520,KYC,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," EXT,TAN,MOP,UPL,BUR,UAS,UGB,PAL,REV,ORA",,R--,NA,-,,,VIBRACOUSTIC NANTES SAS,KT,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--E,BE,--E,BE,NA,0.924,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--E,7,
112103231R,TAMPON HYDRO-ELASTIQUE AV D ASS,Validated,2,2,0,72,SUSPENSION GMP,X52,ASS008768,Fonction,TAMPON SUSPENSION D GMP ASS,Renault,14,Projet,F4R CURITIBA,,NA,NA,1,,RSPOR,NA,1,Valide, 	 ,21/10/2014,ASS008768,NA,,TAMPON DE SUSPENSION GMP D ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,RSPOR,Officielle,,,,BE,,NA,, 	 112103231R,TAMPON HYDRO-ELASTIQUE AV D ASS,PIE,Renault,1RDBA,,Renault, 	 ," PCE Pièce, Unité"," MOP,UAS",0RDBA,Officielle,,,," MOP,ORU,UAS,BPR,OCM,VUC",,P--,NA,*,,,AUTOMOBILE DACIA S.A. ACHATS,3U,,Non,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,--A,BE,--A,BE,NA,2.11,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,4,Non partagé
112103250R,TAMPON ELASTIQUE AV D ASS,Validated,1,1,0,72,SUSPENSION GMP,X79,ASS008768,Fonction,TAMPON SUSPENSION D GMP ASS,Renault,14,Projet,PH2 - H4M (BVM6+BVR6)+PH1 PRIME NISSAN RUSSIE,,NA,NA,2,,0M000,NA,1,Valide, 	 ,13/03/2014,ASS008768,NA,,TAMPON DE SUSPENSION GMP D ASS,,NA,Fournisseur,NA,NA,NA,0,0,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 112103250R,TAMPON ELASTIQUE AV D ASS,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité"," MOP,UAS",0RDBA,Officielle,,,," MOP,ORU,UAS",,---,NA,*,,,AUTOMOBILE DACIA S.A. ACHATS,9S,,Non,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,1.397,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,Non partagé
