ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_numero,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
11,SUPERSTRUCTURE,X52,F16672---,Fonction,OBTURATION CHAINE TOLERIE SUR COTE DE CAISSE,Renault,1,Projet," BERLINE , TRICORPS ET BREAK",,,,1,,0M000,,1,Valide," 	 ",27/02/2014,F16672/AI,,,OBTURATEUR TLR COTE CAISSE D PARTIE AV,,,Fournisseur,,,,,,,1,,,," OCM,TOA,TAN,RMA,MOP,IZH",0M000,Officielle,,,,BE,,,DOCF 4.90/100," 	 7703074621",OBTURATEUR 16 16X16 FUSIBLE,RMU,Renault,00APS,KZ4,Renault," 	 "," PCE Pièce, Unité",,,," SFK,EXT",00APS,Officielle," DPE,UPL,BUR,VAL,MOP,MCA,PLS,LHA,RSM,TOA,COR,UAS,ORU,TAN,OCM,CHN,RMA,HAM,REV,IZH,UGB,PAL,WUH,VUC,N0030,N0027,NVU",,---,,S,300,64Y,ITW DE FRANCE SAS,AC,,Oui,,,Non définie,Non définie,Initialisation par PDP,,,--F,BE,--F,BE,,0.002,Pesée pièce série,,,Plan et Num 3D obligatoires,7703074621,Renault,Plan,--F,7,Non partagé
11,SUPERSTRUCTURE,X52,F10657---,Fonction,SUPPORT DOUBLE ETANCHEITE DE COTE DE CAISSE,Renault,2,Projet," BERLINE, TRICORPS ET BREAK SAUF L CURITIBA",,,,1," COR,UAS,MOP,OCM,RMA,TAN,TOA,IZH",0M000,,1,Valide," 	 ",06/05/2014,F10657/AD,,,SUPPORT DOUBLE ETANCHEITE PARTIE AV DE COTE DE CAISSE G,8708.29,,Fournisseur,,,,,,,1,,,," COR,OCM,IZH,UAS,TAN,RMA,TOA,MOP",0M000,Officielle,,,,BE,,,DOC 4.90/100 LBK52," 	 762154072R",SUPPORT DBL ETANCHEITE PRT AV C/CS G,PIE,Renault,65320,,Renault," 	 "," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,RMA,UAS,TOA,OCM,IZH,TAN,COR,ORU",,---,,-,SF0,,SC MPO PRODIVERS REZISTENT S,RV,,Oui,,,Design - Montée en Gamme - Teintes,Non définie,,,,--D,BE,--D,BE,,0.091,Calculée,DC04AM SANS,0.65,Plan et Num 3D obligatoires,762154072R,Renault,Plan,--E,7,Non partagé
11,SUPERSTRUCTURE,X52,F11346---,Fonction,STRUCTURE D' ADAPTATION D' ARRET DE PORTE AV SUR CAISSE,Renault,1,Projet," BERLINE, BREAK ET TRICORPS",,,,2," COR,UAS,MOP,OCM,RMA,TAN,TOA,IZH",0M000,,1,Valide," 	 ",28/06/2013,F11346/AC,,,PLAQUETTE FIX ARRET PORTE AV D SUR CAISSE,8708.29,,Fournisseur,,,,,,,1,,,,,,,EXT,0M000,Officielle,BE,,,DOC 400150," 	 8200297196",PLAQUETTE FIX ARRET PORTE,PIE,Renault,0M501,,Renault," 	 "," PCE Pièce, Unité",,,,EXT,0M000,Officielle,EXT,,-Q-,,-,SF0,S2Q,SC SILDVB COM SA,GN,,Oui,,,Non définie,Non définie,Initialisation par PDP,,,--D,BE,--D,BE,,0.02,Calculée,DC04AM SANS,2.5,Plan et Num 3D obligatoires,8200309441,Renault,Plan,--E,3,Non partagé
11,SUPERSTRUCTURE,X52,F12070---,Fonction,GOUTTIERE AR SUR COTE DE CAISSE,Renault,1,Projet,TRICORPS,,,,2," COR,UAS,OCM,RMA,TOA,IZH",0M000,,1,Valide," 	 ",27/01/2015,F12070/AB,,,GOUTTIERE LAT AR G SUR PEAU DE COTE DE CAISSE,8708.29,,Fournisseur,,,,,,,1,,,," COR,OCM,IZH,TOA,UAS,RMA",0M000,Officielle,,,,BE,,,DOC 4.90/100," 	 763573817R",GOUTTIERE LAT AR G,PIE,Renault,65320,,Renault," 	 "," PCE Pièce, Unité",MOP,0M000,Officielle,,,," MOP,UAS,OCM,RMA,IZH,TOA,COR",,---,,D,SF0,,AUTOMOBILE DACIA S.A. ACHATS,P3,,Oui,,,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--J,BE,--J,BE,,0.285,Calculée,DC04-A-M SANS,0.64,Plan et Num 3D obligatoires,763573817R,Renault,Plan,--F,15,
11,SUPERSTRUCTURE,X52,F12070---,Fonction,GOUTTIERE AR SUR COTE DE CAISSE,Renault,1,Projet,TRICORPS,,,,2," COR,UAS,OCM,RMA,TOA,IZH",0M000,,3,Valide," 	 ",17/06/2014,F12070/AD,,,GOUTTIERE LAT INF AR G SUR PEAU DE COTE DE CAISSE,8708.29,,Fournisseur,,,,,,,1,,,," COR,OCM,IZH,TOA,UAS,RMA",0M000,Officielle,,,,BE,,,DOC 4.90/100," 	 766598898R",GOUTTIERE LAT INF AR G,PIE,Renault,0M000,,Renault," 	 "," PCE Pièce, Unité",MOP,0M000,Officielle,,,," OCM,IZH,RMA,UAS,TOA,COR",,-Q-,,D,SF0,,AUTOMOBILE DACIA S.A. ACHATS,RK,,Oui,,,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,--A,BE,--A,BE,,0.1,Calculée,DC04-A-M SANS,0.64,Plan et Num 3D obligatoires,766598102R,Renault,Plan,--L,19,
11,SUPERSTRUCTURE,X52,F12070---,Fonction,GOUTTIERE AR SUR COTE DE CAISSE,Renault,2,Projet,BERLINE,,,,1," MOP,RMA,TAN,TOA",0RDBA,,1,Valide," 	 ",17/06/2011,F12070/AB,,,GOUTTIERE LAT AR G SUR PEAU DE COTE DE CAISSE,8708.29,,Fournisseur,,,,,,,1,,,," TAN,RMA,TOA,MOP",0RDBA,Officielle,,,,BE,,,DOC 4.90/100," 	 763572736R",GOUTTIERE LAT AR G,PIE,Renault,65320,,Renault," 	 "," PCE Pièce, Unité"," MOP,TAN",0M000,Officielle,,,," MOP,RMA,OCM,TOA,TAN",,---,,D,SF0,,ILN TANGER,DP,,Oui,,,Design - Montée en Gamme - Teintes,Non définie,,,,--L,BE,--L,BE,,0.664,Calculée,DC04-A-M SANS,0.85,Plan et Num 3D obligatoires,763572736R,Renault,Plan,--L,2,Non partagé
11,SUPERSTRUCTURE,X52,F12070---,Fonction,GOUTTIERE AR SUR COTE DE CAISSE,Renault,3,Projet,BREAK,,,,1," MOP,TAN",0M000,,1,Valide," 	 ",04/03/2013,F12070/AB,,,GOUTTIERE LAT AR G SUR PEAU DE COTE DE CAISSE,8708.29,,Fournisseur,,,,,,,1,,,," TAN,MOP",0M000,Officielle,,,,BE,,,DOC 4.90/100," 	 763574406R",GOUTTIERE LAT AR G,PIE,Renault,65320,,Renault," 	 "," PCE Pièce, Unité",MOP,0M000,Officielle,,,," MOP,TAN",,-Q-,,D,SF0,,AUTOMOBILE DACIA S.A. ACHATS,A3,,Oui,,,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--J,BE,--J,BE,,0.409,Calculée,DC04-A-M SANS,0.8,Plan et Num 3D obligatoires,763574406R,Renault,Plan,--J,13,
11,SUPERSTRUCTURE,X52,F15307---,Fonction,OBTURATION CHAINE PEINTURE SUR COTE DE CAISSE,Renault,1,Projet,TOUS TYPES PH1&PH2,,,,2," MOP,RMA,TAN,IZH",0M000,,11,Valide," 	 ",20/05/2019,F15307/CA,,,OBT PLASTIQUE PTRE TROU PILOTE C/CS G ZONE GACHE PRT AV,,,Fournisseur,,,,,,,1,,,," IZH,TAN,RMA,MOP",0M000,Officielle,,,,BE,,,," 	 7703074608",OBTURATEUR 10 A 12,RMU,Renault,00APS,KZ4,Renault," 	 7703074608"," PCE Pièce, Unité",,,," EXT,SFK",0M000,Officielle," RSM,COR,MCA,LHA,LUT,NB1,VAL,UPL,BUR,REV,OCM,SOV,VUC,DPE,MOP,UAS,AGV,NSA,RMA,IKO,PAL,ORU,TOA,CHN,TAN,UGB,IZH,HAM,ORA,WUH,TCM,TKD,LDS,SNY",,---,,S,300,64Y,ITW DE FRANCE SAS,VL,,Oui,,,Non définie,Non définie,Initialisation par PDP,,,--K,BE,--K,BE,,0.001,Pesée pièce série,,,Plan de définition obligatoire,7703074608,Renault,Plan,--K,13,Non partagé
11,SUPERSTRUCTURE,X52,F15307---,Fonction,OBTURATION CHAINE PEINTURE SUR COTE DE CAISSE,Renault,1,Projet,TOUS TYPES PH1&PH2,,,,2," MOP,RMA,TAN,IZH",0M000,,13,Valide," 	 ",20/05/2019,F15307/CC,,,OBT PLASTIQUE PTRE TROU PILOTE C/CS G ZONE GACHE PRT AR,,,Fournisseur,,,,,,,1,,,," IZH,TAN,RMA,MOP",0M000,Officielle,,,,BE,,,," 	 7703074582"," OBTURATEUR 16,2X20,2",RMU,Renault,00APS,VQ1,Renault," 	 "," PCE Pièce, Unité",,,," EXT,SFK",00APS,Officielle," RMA,BUR,COR,MCA,UGB,PAL,UAS,MOP,ORU,TAN,OCM,UPL,CHN,DPE,TOA,HAM,REV,IZH,ORA,WUH,VUC",,---,,S,10Z,D2R,TRELLEBORG AUTOMOTIVE FRANCE,XV,,Oui,,,Non définie,Non définie,Initialisation par PDP,,,--G,BE,--G,BE,,0.003,Pesée pièce série,,,Plan de définition obligatoire,7703074582,Renault,Plan,--G,7,Non partagé
11,SUPERSTRUCTURE,X52,F15307---,Fonction,OBTURATION CHAINE PEINTURE SUR COTE DE CAISSE,Renault,1,Projet,TOUS TYPES PH1&PH2,,,,2," MOP,RMA,TAN,IZH",0M000,,17,Valide," 	 ",03/06/2019,F15307/AA,,,OBT PLASTIQUE PTRE TROU PILOTE COTE CAISSE G ZONE PIED AV,,,Fournisseur,,,,,,,1,,,," IZH,TAN,RMA,MOP",0M000,Officielle,,,,BE,,,," 	 7703074649",OBTURATEUR 12.2 12.7 THERMO-FUSIBLE,RMU,Renault,00APS,VQ1,Renault," 	 7703074649"," PCE Pièce, Unité",,,," SFK,EXT",00APS,Officielle," EXT,SOV,VUC,COR,UAS,AGV,REV,OCM,UGB,MCA,BUR,LHA,RSM,UPL,PAL,MOP,PLS,ORU,TAN,TOA,CHN,RMA,IZH,HAM,WUH,VAL,SNY",,---,,S,300,64Y,A RAYMOND SARL,R2,,Oui,,,Non définie,Non définie,Initialisation par PDP,,,--D,BE,--D,BE,,0.001,Pesée pièce série,,,Plan et Num 3D obligatoires,7703074649,Renault,Plan,--D,5,
11,SUPERSTRUCTURE,X52,F15307---,Fonction,OBTURATION CHAINE PEINTURE SUR COTE DE CAISSE,Renault,1,Projet,TOUS TYPES PH1&PH2,,,,3," COR,UAS,OCM",0M000,,1,Valide," 	 ",27/01/2016,F15307/BH,,,OBT 1 PLASTIQUE PTRE CIRE COTE CAISSE G PRT AV,8708.99,,Fournisseur,,,,,,,2,,,," COR,UAS,OCM",0M000,Officielle,,,,BE,,,," 	 7707074030",OBTURATEUR 20X50,RMU,Renault,00APS,,Renault," 	 "," PCE Pièce, Unité",,,,EXT,00APS,Officielle," UAS,OCM,VUC,COR",,---,,S,300,,RENAULT DO BRASIL,J4,,Oui,,,Standardisation,RMU,,,,---,BE,---,BE,,0.004,Pesée pièce série,,,Plan de définition obligatoire,7707074030,Renault,Plan,---,1,Non partagé
