DOCTECH_numero;Designation;Maturity;n;total;riesgo;ELTDEC_numero;ELTDEC_designation;FAM_code;FCT_numero;FCT_nature;FCT_designation;FCT_BE_resp;VAR_numero;VAR_type;VAR_argument_produit_1;VAR_argument_produit_2;VAR_prix_previ;VAR_masse_previ;SOL_numero;SOL_site_production;SOL_sce;SOL_appariement;ESO_numero;ESO_etat;ESO_num_appro;ESO_date_histo;ESO_num_PG;ESO_commonalite;ESO_commentaire;ESO_designation_PG;ESO_code_SH;ESO_fourn_pilote;ESO_type_concur;ESO_mas_prob;ESO_mas_recy;ESO_risque;ESO_ecart_mas1;ESO_ecart_mas2;ESO_potentiel;ESO_coef;ESO_design_dos_fct;ESO_BE_resp;ESO_indice_dos_fct;AFU_int_site;AFU_int_sce;AFU_int_validite;AFU_ext_site;AFU_ext_sce;AFU_ext_validite;ECO_statut;ECO_sol_ext;ECO_parallel_set_cod;ECO_commentaire;PIE_numero;PIE_designation;PIE_type;PIE_BE_resp;PIE_sce_gest;PIE_sce_colead;PIE_ldr_conception;PIE_Nis_pie_numero;PIE_unite;AFF_POI_site;AFF_POI_sce;AFF_POI_validite;AFF_POE_site;AFF_POE_sce;AFF_POE_validite;AFF_uti_SIGNE;AFF_uti_G2B;PIE_cod_RSE;PIE_vital_part;PIE_code_nature;PIE_code_techno;PIE_sct_ach;PIE_fournisseur;PIE_cod_fab;PIE_source;PIE_gest_MDS;PIE_prix_std;PIE_prix_hors_amort;PIE_inducteur1;PIE_inducteur2;PIE_creation_comment;PIE_gest_PPU;PIE_maj_PPU;PIEIND_indice;PIEIND_statut;PIEIND_Dernier_indice;PIEIND_Dernier_statut;PIEIND_marquage_pays;PIEIND_masse;PIEIND_type_masse;PIEIND_nuance_protection;PIEIND_epaisseur;PIEIND_typologie;DOCTECH_BE_resp;DOCTECH_type;DOCTECH_indice;DOCTECH_indice_mineur;DOCTECH_flag_nis;perimetro
164460886R;CANALISATION ABSORBEUR VAPEUR CRBT;Refused; 1; 2;0,5000000;76;CIRCUIT CARBURANT;XHA;F14135;Fonction;TUYAUTERIE VAPEUR CARBURANT;Renault;1;Projet;HHA H4M;NA;NA;NA; 1;NA;0M000;NA; 1;Valide;NA;04/12/2014;F14135/AW;NA;NA;CANALISATION VAPEUR CARBURANT ENTREE ELECTROVANNE;EXPERT;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;ORU;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;164460886R;CANALISATION ABSORBEUR VAPEUR CRBT;PIE;Renault;0M000;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;ORU,CHN;NA;RS-;NA;-;NA;NA;NOBEL AUTOMOTIVE RUSYA;B5;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;--B;BE;--B;BE;NA; 0,020;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--B; 5;NA;76 - CIRCUIT CARBURANT
164462814R;CANALISATION ABSORBEUR VAPEUR CRBT;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;XHA;F14135;Fonction;TUYAUTERIE VAPEUR CARBURANT;Renault;1;Projet;HHA H4M;NA;NA;NA; 1;NA;0M000;NA; 2;Valide;NA;04/12/2014;F14135/AS;NA;NA;CANALISATION 1 ABSORBEUR VAPEUR ESSENCE;EXPERT;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;ORU;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;164462814R;CANALISATION ABSORBEUR VAPEUR CRBT;PIE;Renault;0M000;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;ORU,CHN,UAS;NA;RS-;NA;-;NA;NA;NOBEL AUTOMOTIVE RUSYA;NF;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;--B;BE;--B;BE;NA; 0,043;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--B; 4;NA;76 - CIRCUIT CARBURANT
164466039R;CANALISATION ABSORBEUR VAPEUR CRBT;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;X79;F10442;Fonction;CIRCUIT DE MISE A AIR DU RESERVOIR A CARBURANT;Renault;7;Projet;H79 PH2 K4M, H5F, H4M & H79 PH1' / K4M;NA;NA;NA; 1;ORU,MOP,CHN;0M000;NA; 1;Valide;NA;20/01/2014;F10442/AA;NA;NA;CANALISATION  1 DE MISE A AIR DU RESERVOIR A CARBURANT;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;ORU,CHN,MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;164466039R;CANALISATION ABSORBEUR VAPEUR CRBT;PIE;Renault;0M000;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;ORU,CHN,MOP;NA;RS-;NA;-;XUR;NA;NOBEL AUTOMOTIVE ROMANIA SRL;C4;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Non définie;Initialisation par PDP;NA;NA;--A;BE;--A;BE;NA; 0,088;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--A; 2;NA;76 - CIRCUIT CARBURANT
172014662R;RESERVOIR CARBURANT ASS;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;XHA;F10570;Fonction;RESERVOIR CARBURANT;Renault;22;Projet;HHA K9K PLASTIC TANK;NA;NA;NA; 2;NA;0INDE;NA; 1;Valide;NA;30/05/2019;F10570/AA;NA;NA;RESERVOIR CARBURANT EQP;8708.99;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;172015354R;RESERVOIR CARBURANT ASS;PIE;Renault;0INDE;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;RS-;NA;*;XUR;NA;NA;LV;NA;Non;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;--C;BE;--C;BE;NA;10,514;Calcul automatique;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--C; 8;NA;76 - CIRCUIT CARBURANT
172020892R;RESERVOIR CARBURANT EQP;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;X52;F10570;Fonction;RESERVOIR CARBURANT;Renault;29;Projet;B52,K52 / DIESEL / GEN5 / EURO6;NA;NA;NA; 2;NA;0M000;NA; 1;Valide;NA;14/03/2014;F10570/AA;NA;NA;RESERVOIR CARBURANT EQP;8708.99;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;TAN;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;172027034R;RESERVOIR CARBURANT EQP;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;TAN;NA;RS-;NA;-;NA;NA;INERGY AUTOMOTIVE SYST MOROC;LD;NA;Oui;NA;NA;Inducteurs Spécifiques;Pièce de responsabilité ingénierie partenaire;NA;NA;NA;---;BE;---;BE;NA; 8,844;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--B; 6;NA;76 - CIRCUIT CARBURANT
172022377R;MODULE JAUGE POMPE;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;X52;F15403;Fonction;JAUGE ET POMPE A CARBURANT;Renault;2;Projet;X52/D4F,K7M,K4M,H4M/ EXPORT EU4 +H4M EU5,LBK52 D4FTLTURQ + EU 6;NA;NA;NA; 1;NA;65500;NA; 1;Valide;NA;17/06/2011;F15403/AA;NA;NA;ENSEMBLE JAUGE ET POMPE A CARBURANT;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;EXT;65500;Officielle;BE;NA;NA;NA;172022047R;MODULE JAUGE POMPE;PIE;Renault;65500;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;65500;Officielle;EXT;NA;RSE;NA;-;XUR;NA;TI AUTOMOTIVE FUEL SYSTEMS S;5L;NA;Oui;NA;NA;Non définie;Non définie;Initialisation par PDP;NA;NA;--A;BE;--A;BE;NA; 0,890;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--D; 1;Non partagé;76 - CIRCUIT CARBURANT
172029062R;RESERVOIR CARBURANT EQP;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;X79;F10570;Fonction;RESERVOIR CARBURANT;Renault;20;Projet;H79 PH2 & PH1'/ TR4X2 / K4M SAUF GPL;NA;NA;NA; 2;MOP,CHN;0M000;NA; 1;Valide;NA;21/04/2016;F10570/AA;NA;NA;RESERVOIR CARBURANT EQP;8708.99;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN,MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;172020544R;RESERVOIR CARBURANT EQP;PIE;Renault;0M000;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;CHN,MOP;NA;RS-;NA;Y;XUR;NA;PLASTIC OMNIUM AUTO INERGY R;VK;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Non définie;Initialisation par PDP;NA;NA;--C;BE;--C;BE;NA; 8,907;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--G; 9;NA;76 - CIRCUIT CARBURANT
172217190R;PIPE REMPLISSAGE EQP;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;X79;F10481;Fonction;REMPLISSAGE RESERVOIR CARBURANT;Renault;22;Projet;H79 INDIA METALIC TANK;NA;NA;NA; 2;NA;0INDE;NA; 1;Valide;NA;22/05/2015;F10481/AT;NA;NA;PIPE REMPLISSAGE RESERVOIR CARBURANT;8708.99;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;172217190R;PIPE REMPLISSAGE EQP;PIE;Renault;0INDE;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;RS-;NA;-;XUR;NA;NA;5N;8200899275;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;--A;BE;--A;BE;NA; 0,679;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--A; 3;NA;76 - CIRCUIT CARBURANT
172283564R;MANCHON PIPE REMPLISSAGE;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;X79;F10481;Fonction;REMPLISSAGE RESERVOIR CARBURANT;Renault;22;Projet;H79 INDIA METALIC TANK;NA;NA;NA; 2;NA;0INDE;NA; 4;Valide;NA;22/05/2015;F10481/AU;NA;NA;CANALISATION  INF PIPE REMPLISSAGE CRBT;EXPERT;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;172283564R;MANCHON PIPE REMPLISSAGE;PIE;Renault;0INDE;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;RS-;NA;-;XUR;NA;NA;NA;172285546R;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;--A;BE;--A;BE;NA; 0,067;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--A; 2;NA;76 - CIRCUIT CARBURANT
172291692R;TUYAU ANTIREFOULEMENT;Validated; 1; 1;0,0000000;76;CIRCUIT CARBURANT;X79;F10481;Fonction;REMPLISSAGE RESERVOIR CARBURANT;Renault;22;Projet;H79 INDIA METALIC TANK;NA;NA;NA; 2;NA;0INDE;NA; 5;Valide;NA;22/05/2015;F10481/AV;NA;NA;CANALISATION ANTIREFOULEMENT RESERVOIR CRBT;EXPERT;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;CHN;0INDE;Officielle;NA;NA;NA;BE;NA;NA;NA;172291692R;TUYAU ANTIREFOULEMENT;PIE;Renault;0INDE;XCP;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0INDE;Officielle;CHN;NA;RS-;NA;-;XUR;NA;NA;VH;8200587039;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;--A;BE;--A;BE;NA; 0,017;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--A; 2;NA;76 - CIRCUIT CARBURANT
